created_date,deadline,start_task,stop_task,task_nature,task_name
06/04/2020 17:17:38,06/04/2020,06/04/2020 00:00,06/04/2020 09:30,,sleep
06/04/2020 17:17:56,06/04/2020,06/04/2020 09:30,06/04/2020 10:30,,Morning Routine
06/04/2020 17:18:30,06/04/2020,06/04/2020 10:30,06/04/2020 12:30,,Development
06/04/2020 17:18:43,06/04/2020,06/04/2020 12:30,06/04/2020 13:30,,Lunch
06/04/2020 17:18:57,06/04/2020,06/04/2020 13:30,06/04/2020 18:30,,Development
06/04/2020 17:19:18,06/04/2020,06/04/2020 18:30,06/04/2020 20:30,,Games
06/04/2020 17:19:39,06/04/2020,06/04/2020 20:30,06/04/2020 21:00,,Lunch
06/04/2020 17:20:00,06/04/2020,06/04/2020 21:00,06/04/2020 22:30,,Games
06/04/2020 17:20:56,06/04/2020,06/04/2020 22:30,06/04/2020 23:59,,sleep
