created_date,start_task,stop_task,task_name,task_nature
16/05/2020 20:58:36:711795,16/05/2020 07:00,16/05/2020 08:00,Meal,---
16/05/2020 20:58:58:259094,16/05/2020 08:00,16/05/2020 13:00,Work,---
16/05/2020 20:59:03:416006,16/05/2020 13:00,16/05/2020 14:00,Meal,---
16/05/2020 20:59:12:738973,16/05/2020 14:00,16/05/2020 17:00,Work,---
16/05/2020 20:59:16:019860,16/05/2020 17:00,16/05/2020 18:00,Work,---
16/05/2020 20:59:30:032577,16/05/2020 18:00,16/05/2020 19:00,Meal,---
16/05/2020 20:59:39:349071,16/05/2020 19:00,16/05/2020 20:00,Recreation,---
16/05/2020 20:59:51:241601,16/05/2020 20:00,16/05/2020 21:00,Exercise,---
